device_id,timestamp,temperature_c,battery_level_v,signal_strength_dbm,packet_loss_pct,encryption_latency_ms,failure_risk
RADIO_001,2026-07-31 16:29:05,34.76,12.0,-58.96,0.97,21.96,0
RADIO_001,2026-07-31 17:29:05,36.19,12.0,-63.31,0.72,19.25,0
RADIO_001,2026-07-31 18:29:05,37.19,12.0,-67.31,0.23,19.9,0
RADIO_001,2026-07-31 19:29:05,35.99,11.99,-71.87,1.12,20.63,0
RADIO_001,2026-07-31 20:29:05,34.76,11.99,-63.46,1.5,19.7,0
RADIO_001,2026-07-31 21:29:05,32.44,11.99,-62.98,2.53,20.58,0
RADIO_001,2026-07-31 22:29:05,37.43,11.99,-64.46,1.35,16.55,0
RADIO_001,2026-07-31 23:29:05,34.95,11.99,-66.35,1.23,19.52,0
RADIO_001,2026-08-01 00:29:05,34.59,11.98,-76.87,0.82,18.45,0
RADIO_001,2026-08-01 01:29:05,33.19,11.98,-55.69,1.75,21.71,0
RADIO_001,2026-08-01 02:29:05,33.34,11.98,-62.19,0.94,24.68,0
RADIO_001,2026-08-01 03:29:05,36.75,11.98,-66.4,0.88,20.37,0
RADIO_001,2026-08-01 04:29:05,35.79,11.98,-65.42,0.41,18.69,0
RADIO_001,2026-08-01 05:29:05,32.29,11.97,-57.16,0.55,21.61,0
RADIO_001,2026-08-01 06:29:05,30.13,11.97,-60.27,1.29,19.54,0
RADIO_001,2026-08-01 07:29:05,35.08,11.97,-65.26,0.19,19.54,0
RADIO_001,2026-08-01 08:29:05,37.3,11.97,-64.71,1.38,21.61,0
RADIO_001,2026-08-01 09:29:05,34.72,11.97,-59.72,0.8,18.99,0
RADIO_001,2026-08-01 10:29:05,34.83,11.96,-57.51,0.12,17.25,0
RADIO_001,2026-08-01 11:29:05,34.43,11.96,-63.7,1.67,18.71,0
RADIO_001,2026-08-01 12:29:05,37.7,11.96,-65.54,1.34,16.86,0
RADIO_001,2026-08-01 13:29:05,30.16,11.96,-70.98,0.18,18.65,0
RADIO_001,2026-08-01 14:29:05,37.2,11.96,-59.73,1.17,21.77,0
RADIO_001,2026-08-01 15:29:05,31.63,11.95,-64.13,0.8,17.39,0
RADIO_001,2026-08-01 16:29:05,35.79,11.95,-71.45,0.86,18.99,0
RADIO_001,2026-08-01 17:29:05,34.24,11.95,-65.62,1.34,18.12,0
RADIO_001,2026-08-01 18:29:05,32.95,11.95,-62.92,1.08,19.15,0
RADIO_001,2026-08-01 19:29:05,34.41,11.95,-62.6,0.55,17.63,0
RADIO_001,2026-08-01 20:29:05,32.97,11.94,-71.1,0.93,19.39,0
RADIO_001,2026-08-01 21:29:05,38.85,11.94,-67.23,0.82,18.13,0
RADIO_001,2026-08-01 22:29:05,32.77,11.94,-60.44,1.9,17.76,0
RADIO_001,2026-08-01 23:29:05,31.87,11.94,-56.24,1.15,18.57,0
RADIO_001,2026-08-02 00:29:05,33.77,11.94,-68.18,0.55,23.1,0
RADIO_001,2026-08-02 01:29:05,34.48,11.93,-70.08,0.12,20.19,0
RADIO_001,2026-08-02 02:29:05,32.79,11.93,-65.05,1.58,19.51,0
RADIO_001,2026-08-02 03:29:05,33.81,11.93,-67.39,0.06,21.03,0
RADIO_001,2026-08-02 04:29:05,34.7,11.93,-62.19,1.36,16.67,0
RADIO_001,2026-08-02 05:29:05,34.12,11.93,-64.42,0.84,21.27,0
RADIO_001,2026-08-02 06:29:05,33.57,11.92,-70.18,1.19,16.88,0
RADIO_001,2026-08-02 07:29:05,36.58,11.92,-67.94,1.93,22.01,0
RADIO_001,2026-08-02 08:29:05,37.81,11.92,-65.35,0.74,20.32,0
RADIO_001,2026-08-02 09:29:05,35.67,11.92,-51.04,1.13,20.26,0
RADIO_001,2026-08-02 10:29:05,34.22,11.92,-57.03,0.47,20.25,0
RADIO_001,2026-08-02 11:29:05,34.78,11.91,-56.03,1.19,23.22,0
RADIO_001,2026-08-02 12:29:05,31.69,11.91,-56.62,1.33,19.93,0
RADIO_001,2026-08-02 13:29:05,37.72,11.91,-64.6,1.53,18.79,0
RADIO_001,2026-08-02 14:29:05,36.93,11.91,-59.25,1.32,21.33,0
RADIO_001,2026-08-02 15:29:05,33.96,11.91,-59.68,0.83,19.74,0
RADIO_001,2026-08-02 16:29:05,35.09,11.9,-65.82,1.14,22.82,0
RADIO_001,2026-08-02 17:29:05,33.65,11.9,-67.42,0.54,18.86,0
RADIO_001,2026-08-02 18:29:05,34.32,11.9,-65.24,1.08,18.76,0
RADIO_001,2026-08-02 19:29:05,34.98,11.9,-62.49,1.02,18.61,0
RADIO_001,2026-08-02 20:29:05,33.99,11.9,-53.37,0.61,18.31,0
RADIO_001,2026-08-02 21:29:05,33.92,11.89,-60.89,1.89,18.53,0
RADIO_001,2026-08-02 22:29:05,38.09,11.89,-62.71,1.58,18.5,0
RADIO_001,2026-08-02 23:29:05,35.58,11.89,-67.58,0.38,18.88,0
RADIO_001,2026-08-03 00:29:05,35.27,11.89,-65.0,0.96,18.04,0
RADIO_001,2026-08-03 01:29:05,34.42,11.89,-70.47,1.4,20.96,0
RADIO_001,2026-08-03 02:29:05,34.43,11.88,-64.42,1.48,20.58,0
RADIO_001,2026-08-03 03:29:05,37.23,11.88,-62.49,1.63,22.44,0
RADIO_001,2026-08-03 04:29:05,34.35,11.88,-65.51,1.97,18.56,0
RADIO_001,2026-08-03 05:29:05,36.52,11.88,-69.62,0.41,19.81,0
RADIO_001,2026-08-03 06:29:05,33.88,11.88,-68.51,0.16,19.19,0
RADIO_001,2026-08-03 07:29:05,34.57,11.87,-75.24,1.08,19.52,0
